name,salary_from,salary_to,salary_currency,area_name,published_at
Младший аналитик 1С,,160920,RUR,Санкт-Петербург,2022-12-21T10:37:19+0300
Монтажник металлоконструкций 4-5 разряда,120000,,RUR,Новосибирск,2022-12-21T12:46:43+0300
Middle Java Developer,200000,,RUR,Санкт-Петербург,2022-12-21T12:53:10+0300
Диспетчер отдела торгового холодильного оборудования,70000,80000,RUR,Москва,2022-12-21T12:49:08+0300
Копирайтер в онлайн-школу,30000,,RUR,Москва,2022-12-21T11:11:30+0300
IOS разработчик (Middle),150000,250000,RUR,Томск,2022-12-21T10:17:30+0300
Специалист технической поддержки (Удаленно),40000,40000,RUR,Москва,2022-12-21T12:34:07+0300
Специалист технической поддержки,300,,USD,Минск,2022-12-21T12:21:48+0300
Руководитель проектного офиса,200000,250000,RUR,Нижний Новгород,2022-12-21T10:19:58+0300
IT-специалист,85000,100000,RUR,Москва,2022-12-21T12:40:49+0300
Ученик токаря,,30000,RUR,Воронеж,2022-12-21T12:43:21+0300
Системный администратор в Управляющую Компанию,90000,,RUR,Москва,2022-12-21T11:36:51+0300
Менеджер проекта (супервайзер),50000,80000,RUR,Екатеринбург,2022-12-21T12:33:15+0300
Оператор станков с ЧПУ,96250,,RUR,Набережные Челны,2022-12-21T10:18:08+0300
Электромеханик,70000,,RUR,Санкт-Петербург,2022-12-21T10:07:38+0300
Аналитик,80000,,RUR,Москва,2022-12-21T12:08:55+0300
Монтажник металлоконструкций 4-5 разряда,120000,,RUR,Иркутск,2022-12-21T12:47:04+0300
Главный механик,70000,,RUR,Самара,2022-12-21T12:29:06+0300
Шлифовщик,60000,,RUR,Воронеж,2022-12-21T11:40:02+0300
Frontend-разработчик,90000,160000,RUR,Новосибирск,2022-12-21T11:35:19+0300
Дизайнер корпусной мебели (менеджер по работе с клиентом),30000,50000,RUR,Курск,2022-12-21T12:27:12+0300
Системный аналитик,240000,,RUR,Москва,2022-12-21T12:24:51+0300
Механик (выпуск на линию),,54683,RUR,Наро-Фоминск,2022-12-21T10:44:30+0300
Начальник отдела/службы АСУ,2700,3000,BYR,Минск,2022-12-21T12:12:52+0300
Инженер-программист,30000,,RUR,Елец,2022-12-21T11:31:53+0300
Web-разработчик,60000,90000,RUR,Екатеринбург,2022-12-21T11:44:34+0300
Комплектатор дизайн-проекта интерьера,200000,,KZT,Астана,2022-12-21T12:20:43+0300
Инженер-конструктор (3D печать),60000,,RUR,Москва,2022-12-21T12:20:16+0300
Фронтэнд разработчик (frontend),200000,,RUR,Москва,2022-12-21T11:53:56+0300
Оператор станков с ПУ,93800,97500,RUR,Новороссийск,2022-12-21T10:33:51+0300
Дизайнер,55000,65000,RUR,Ковров,2022-12-21T12:06:27+0300
Наладчик станков и манипуляторов с программным управлением (Цех изготовления и окраски корпусов),,80000,RUR,Набережные Челны,2022-12-21T11:12:24+0300
Middle QA Auto Engineer,120000,180000,RUR,Москва,2022-12-21T12:07:10+0300
Администратор/Интегратор Битрикс (Bitrix)/IT-специалист,20000,70000,RUR,Кострома,2022-12-21T12:10:18+0300
"Head of QA, Кипр",5500,,EUR,Москва,2022-12-21T11:36:01+0300
Ассистент аналитика (Market Research)/Социолог,35000,45000,RUR,Москва,2022-12-21T11:19:21+0300
Токарь-универсал,60000,,RUR,Новосибирск,2022-12-21T12:22:56+0300
Токарь/фрезеровщик ЧПУ,60000,100000,RUR,Пенза,2022-12-21T11:37:21+0300
Инженер-электронщик,120000,,RUR,Санкт-Петербург,2022-12-21T12:15:56+0300
Товарный аналитик розничного направления,94000,94000,RUR,Санкт-Петербург,2022-12-21T12:50:00+0300
Разработчик Back-end,150000,180000,RUR,Зеленоград,2022-12-21T11:00:12+0300
Программист 1C,70000,70000,RUR,Москва,2022-12-21T11:44:58+0300
Мастер по гарантийному ремонту и сопровождению,50000,,RUR,Шахты,2022-12-21T10:06:07+0300
Руководитель проектов (менеджер проектов),40000,80000,RUR,Курск,2022-12-21T12:32:05+0300
Монтажник,35000,,RUR,Матвеев-Курган,2022-12-21T11:06:50+0300
Специалист технической поддержки (системный администратор),60000,,RUR,Нижний Новгород,2022-12-21T10:45:36+0300
"Инженер по сервисному обслуживанию ККС предприятий быстрого питания «Вкусно и точка"" в г. Воронеж",42000,60000,RUR,Воронеж,2022-12-21T10:56:02+0300
Механик,50000,,RUR,Абакан,2022-12-21T10:49:48+0300
Программист 1C,140000,,RUR,Москва,2022-12-21T12:09:53+0300
Помощник оператора (ЧПУ)/Помощник на производство,40000,,RUR,Новосибирск,2022-12-21T10:23:01+0300
Оператор станка с ЧПУ,60000,150000,RUR,Сызрань,2022-12-21T11:29:19+0300
Junior Программист 1C,60000,,RUR,Нижний Новгород,2022-12-21T12:00:01+0300
Менеджер по развитию и внедрению ERP-системы,100000,,RUR,Санкт-Петербург,2022-12-21T11:37:16+0300
Инженер-техник,1500,,BYR,Минск,2022-12-21T12:26:41+0300
Инженер-программист C++ Embedded,250000,,RUR,Москва,2022-12-21T12:09:20+0300
Токарь на станок HAAS,120000,,RUR,Москва,2022-12-21T10:37:45+0300
Монтажник абонентских линий,70000,150000,RUR,Москва,2022-12-21T10:06:40+0300
Инженер-механик,,61200,RUR,Пенза,2022-12-21T11:07:22+0300
Менеджер-дизайнер по работе с клиентами,4000000,10000000,UZS,Ташкент,2022-12-21T10:08:11+0300
Аналитик (Разработка ПО),,120000,RUR,Москва,2022-12-21T11:08:43+0300
Механик,55000,,RUR,Зеленоград,2022-12-21T10:46:58+0300
Специалист по ценообразованию,70000,,RUR,Москва,2022-12-21T12:34:31+0300
Старший системный администратор,100000,,RUR,Москва,2022-12-21T12:10:13+0300
Системный аналитик 1С (Обучаем),30000,60000,RUR,Краснодар,2022-12-21T11:28:36+0300
Наладчик оборудования пищевой промышленности / сервисный инженер,100000,170000,RUR,Москва,2022-12-21T12:36:27+0300
Младший аналитик,60000,,RUR,Москва,2022-12-21T11:21:27+0300
Python developer (Middle),300000,360000,RUR,Санкт-Петербург,2022-12-21T12:42:00+0300
Электромеханик,45000,,RUR,Серпухов,2022-12-21T11:12:17+0300
Техник по ремонту оборудования,60000,90000,RUR,Санкт-Петербург,2022-12-21T10:12:15+0300
Системный аналитик,40000,,RUR,Новосибирск,2022-12-21T11:11:23+0300
PHP - разработчик (Backend),250000,350000,RUR,Москва,2022-12-21T10:34:50+0300
Ведущий разработчик JavaScript (фронт),250000,300000,RUR,Москва,2022-12-21T10:09:08+0300
Оператор станков с ЧПУ,65000,75000,RUR,Москва,2022-12-21T10:50:40+0300
Механик-наладчик,55000,,RUR,Пушкино (Московская область),2022-12-21T10:18:53+0300
Разработчик 1С (Программист 1С),150000,,RUR,Екатеринбург,2022-12-21T11:45:04+0300
Системный администратор,90000,90000,RUR,Красноярск,2022-12-21T10:56:43+0300
Механик (Механик по выпуску автотранспорта),100000,,RUR,Иркутск,2022-12-21T10:41:27+0300
Разработчик Front-end,,160000,RUR,Зеленоград,2022-12-21T11:00:13+0300
Аналитик-маркетолог,,135000,RUR,Москва,2022-12-21T10:59:52+0300
Инженер по тестированию ПО,100000,,RUR,Нижний Новгород,2022-12-21T12:31:23+0300
Начальник транспортного отдела,80000,,RUR,Челябинск,2022-12-21T11:32:31+0300
Оператор гибочного пресса,70000,,RUR,Всеволожск,2022-12-21T11:45:27+0300
Сервис-инженер,70000,,RUR,Москва,2022-12-21T11:36:03+0300
Сетевой инженер,350000,,KZT,Астана,2022-12-21T10:25:53+0300
Оператор-наладчик станков с ЧПУ,80000,100000,RUR,Челябинск,2022-12-21T11:11:04+0300
Инженер-наладчик КИПиА,60000,,RUR,Самара,2022-12-21T11:00:43+0300
Механик (п. Малино),60000,,RUR,Ступино,2022-12-21T11:29:58+0300
Специалист по защите информации,55000,,RUR,Челябинск,2022-12-21T11:18:10+0300
Инженер-программист,25000,,RUR,Кемерово,2022-12-21T10:38:39+0300
Фрезеровщик,60000,,RUR,Ижевск,2022-12-21T10:49:20+0300
Системный аналитик,,100000,RUR,Москва,2022-12-21T12:41:45+0300
Тестировщик ПО (QC),40000,,RUR,Ростов-на-Дону,2022-12-21T11:34:16+0300
Токарь,55000,65000,RUR,Краснодар,2022-12-21T12:21:38+0300
UX-аналитик,40000,,RUR,Казань,2022-12-21T12:45:53+0300
Механик (п. Малино),60000,,RUR,Кашира,2022-12-21T11:29:58+0300
Начальник службы наладки (Обнинск),200000,325000,RUR,Москва,2022-12-21T12:23:23+0300
Веб-программист,300000,,KZT,Алматы,2022-12-21T12:12:07+0300
Разработчик мобильных приложений (Flutter),150000,180000,RUR,Зеленоград,2022-12-21T11:00:12+0300
Механик экспедитор,200000,300000,KZT,Алматы,2022-12-21T12:12:46+0300
Middle/Senior UX UI Designer/Дизайнер интерфейсов,70000,120000,RUR,Челябинск,2022-12-21T12:47:02+0300
Дизайнер обложек для YouTube,40000,75000,RUR,Санкт-Петербург,2022-12-21T11:27:26+0300
Руководитель проекта,55000,,RUR,Барнаул,2022-12-21T11:16:24+0300
Оператор станков с ЧПУ,1500,1700,BYR,Могилев,2022-12-21T12:10:33+0300
PHP Developer,150000,,RUR,Москва,2022-12-21T10:57:33+0300
Инженер программист PHP/разработчик,250000,350000,RUR,Москва,2022-12-21T10:09:03+0300
Специалист по автоматизации и цифровизации,70000,,RUR,Иркутск,2022-12-21T11:12:43+0300
Оператор станка лазерной резки,65000,,RUR,Санкт-Петербург,2022-12-21T10:42:55+0300
Сервисный инженер по ремонту и обслуживанию почтоматов,50000,,RUR,Красногорск,2022-12-21T11:23:12+0300
Токарь,,40000,RUR,Дедовск,2022-12-21T10:53:35+0300
Механик,125000,,RUR,Уфа,2022-12-21T11:13:06+0300
Инженер-механик (автотранспортная служба),,35000,RUR,Липецк,2022-12-21T11:38:17+0300
Дежурный инженер,44500,,RUR,Сочи,2022-12-21T12:38:11+0300
Системный администратор,70000,,RUR,Санкт-Петербург,2022-12-21T12:04:43+0300
Специалист по IT / ситемный администратор,30000,,RUR,Санкт-Петербург,2022-12-21T12:23:34+0300
Менеджер проекта,60000,,RUR,Королев,2022-12-21T12:49:37+0300
Инженер схемотехник-программист,2200,,BYR,Минск,2022-12-21T12:35:43+0300
Business Analyst,150000,170000,RUR,Москва,2022-12-21T10:42:18+0300
Токарь на большие станки,120000,,RUR,Тула,2022-12-21T10:46:11+0300
Электромонтер охранно-пожарной сигнализации,40000,45000,RUR,Новосибирск,2022-12-21T10:51:17+0300
Фрезеровщик,40000,,RUR,Владимир,2022-12-21T11:07:48+0300
Монтажник РЭА и П (dip монтаж),50000,80000,RUR,Санкт-Петербург,2022-12-21T11:09:50+0300
Инженер-программист в Банк,100000,120000,RUR,Челябинск,2022-12-21T11:14:55+0300
Программист PHP (Symfony) / PHP-разработчик,,200000,RUR,Санкт-Петербург,2022-12-21T11:25:32+0300
Специалист группы специализированных решений MES и IOT,,200000,RUR,Омск,2022-12-21T11:59:13+0300
Инженер Группы технической поддержки Отдела информационно-технической поддержки,60000,,RUR,Санкт-Петербург,2022-12-21T11:11:18+0300
Tech support specialist,1000,,USD,Армения,2022-12-21T11:32:56+0300
Руководитель интернет-проекта,,150000,RUR,Москва,2022-12-21T10:07:58+0300
Слесарь МСР,1500,,BYR,Минск,2022-12-21T10:25:40+0300
Механик (п. Малино),60000,,RUR,Озеры,2022-12-21T11:29:58+0300
Токарь,80000,,RUR,Колпино,2022-12-21T11:11:45+0300
Руководитель отдела технической поддержки,70000,100000,RUR,Москва,2022-12-21T12:57:52+0300
Дизайнер,70000,91000,RUR,Томск,2022-12-21T10:15:20+0300
Рабочий по комплексному обслуживанию зданий,54400,54400,RUR,Санкт-Петербург,2022-12-21T12:29:10+0300
Главный специалист по защите информации отдела автоматизации и информационного взаимодействия,50000,,RUR,Красноярск,2022-12-21T11:52:57+0300
Техник-инсталлятор OneCity (Интернет),35000,45000,RUR,Ялта,2022-12-21T12:33:23+0300
Младший системный администратор,3000000,5000000,UZS,Ташкент,2022-12-21T10:46:26+0300
"Оператор станка с ЧПУ на КРП; гибку (Всеволожский р-н, пос.им. Свердлова)",50000,70000,RUR,пгт имени Свердлова,2022-12-21T11:36:33+0300
Программист,100000,,RUR,Королев,2022-12-21T11:00:11+0300
Технический специалист,120000,,RUR,Москва,2022-12-21T11:22:05+0300
Инженер группы мониторинга,,70000,RUR,Череповец,2022-12-21T11:04:32+0300
Слесарь КИПиА,41250,49500,RUR,Тула,2022-12-21T11:27:30+0300
Консультант - аналитик (методолог) 1С по бухгалтерскому и налоговому учету,150000,220000,RUR,Москва,2022-12-21T12:49:19+0300
Инженер технической поддержки,45000,60000,RUR,Казань,2022-12-21T12:41:20+0300
Начальник ремонтной зоны,70000,,RUR,Челябинск,2022-12-21T10:43:28+0300
Автомеханик / Автослесарь,100000,180000,RUR,Химки,2022-12-21T12:04:34+0300
Инженер,40000,,RUR,Уфа,2022-12-21T10:27:19+0300
"Менеджер по оптимизации бизнес-процессов (Бизнес-аналитик, Архитектор бизнес-процессов)",,150000,RUR,Москва,2022-12-21T10:20:17+0300
Сетевой инженер,60000,70000,RUR,Калуга,2022-12-21T10:31:35+0300
Наладчик станков с ЧПУ,40000,,RUR,Нижний Новгород,2022-12-21T11:09:59+0300
Техник по автоматизированным системам управления производством,40000,40000,RUR,Самара,2022-12-21T11:49:15+0300
Оператор станка с ЧПУ,100000,,RUR,Балашиха,2022-12-21T12:40:24+0300
Сервисный инженер по обслуживанию гидравлических ключей (ГКШ),100000,,RUR,Сургут,2022-12-21T12:44:14+0300
Механик,80000,80000,RUR,Луховицы,2022-12-21T10:04:42+0300
Бизнес-аналитик 1С (блок производство),130000,170000,RUR,Серпухов,2022-12-21T11:27:40+0300
"Преподаватель по программированию (Python, С++, Java)",150000,250000,KZT,Атырау,2022-12-21T11:13:12+0300
Инженер-программист,140000,160000,RUR,Санкт-Петербург,2022-12-21T10:17:32+0300
Fullstack Javascript разработчик,150000,,RUR,Москва,2022-12-21T11:44:17+0300
Менеджер по работе с клиентами (холодные звонки),39000,,RUR,Новосибирск,2022-12-21T11:06:32+0300
Дежурный инженер Linux,25000,50000,RUR,Чебоксары,2022-12-21T12:35:43+0300
Специалист в службу технической поддержки,2500000,,UZS,Ташкент,2022-12-21T12:27:52+0300
Дизайнер в онлайн-школу (удаленно),50000,,RUR,Санкт-Петербург,2022-12-21T11:25:02+0300
Механик,,45000,RUR,Иваново (Ивановская область),2022-12-21T10:41:00+0300
Инженер слаботочных систем,150000,200000,RUR,Москва,2022-12-21T11:33:40+0300
Наладчик КИПиА,50000,,RUR,Гатчина,2022-12-21T12:23:50+0300
Начинающий мастер по ремонту техники,60000,130000,RUR,Москва,2022-12-21T10:40:59+0300
Сервисный инженер,75000,150000,RUR,Санкт-Петербург,2022-12-21T11:29:20+0300
Программист 1С,130000,,RUR,Москва,2022-12-21T10:43:29+0300
Data Engineer,300000,,RUR,Санкт-Петербург,2022-12-21T10:10:19+0300
Дизайнер-консультант,80000,150000,RUR,Санкт-Петербург,2022-12-21T12:36:49+0300
Python / Django разработчик (TeamLead / CTO),800000,1500000,KZT,Астана,2022-12-21T12:46:54+0300
Монтажник СКС,60000,,RUR,Москва,2022-12-21T11:06:43+0300
Программист 1С,100000,,RUR,Октябрьский (Республика Башкортостан),2022-12-21T12:54:19+0300
Руководитель IT проекта СЭД Tessa,200000,300000,RUR,Москва,2022-12-21T11:04:53+0300
"Механик по выпуску, контролю и техническому состоянию автомобилей",35000,,RUR,Карталы,2022-12-21T11:12:44+0300
Разработчик FPGA,100000,120000,RUR,Москва,2022-12-21T10:02:49+0300
Специалист технической поддержки,50000,70000,RUR,Первомайское (Ленинградская область),2022-12-21T10:46:17+0300
Специалист технической поддержки / Специалист входящей линии,40000,50000,RUR,Владимир,2022-12-21T12:39:43+0300
Оператор-наладчик фрезерных станков с ЧПУ,120000,,RUR,Санкт-Петербург,2022-12-21T12:56:14+0300
"Программист javascript (3d WebGL/Blender), удаленно",250000,,RUR,Москва,2022-12-21T11:32:22+0300
Младший менеджер продукта ( системы хранения данных),100000,,RUR,Москва,2022-12-21T10:58:22+0300
Системный администратор,40000,60000,RUR,Екатеринбург,2022-12-21T11:50:50+0300
Сервис-инженер,50000,60000,RUR,Хабаровск,2022-12-21T10:21:30+0300
Инженер службы поддержки и внедрения,90000,,RUR,Москва,2022-12-21T11:31:37+0300
Руководитель группы,62000,62000,RUR,Новокузнецк,2022-12-21T10:21:14+0300
Ведущий аналитик Power BI,120000,,RUR,Москва,2022-12-21T10:42:13+0300
Главный (старший) механик грузового сервиса,,80000,RUR,Кемерово,2022-12-21T12:12:20+0300
Главный специалист отдела SWIFT Центра сопровождения банковских операций,1510,2750,BYR,Минск,2022-12-21T11:33:10+0300
Дизайнер-декоратор,80000,,RUR,Москва,2022-12-21T11:34:33+0300
Специалист техподдержки систем электронного документооборота,27000,39000,RUR,Красноярск,2022-12-21T10:57:01+0300
Выездной Инженер ККТ/ЦТО,70000,,RUR,Москва,2022-12-21T10:57:56+0300
Оператор станков с ПУ,55000,80000,RUR,Брянск,2022-12-21T10:57:05+0300
Младший аналитик (RPA платформа),30000,54000,RUR,Москва,2022-12-21T11:47:10+0300
Data Engineer,300000,,RUR,Москва,2022-12-21T10:10:19+0300
PHP Developer,150000,,RUR,Москва,2022-12-21T12:52:34+0300
Токарь-универсал,65000,75000,RUR,Кемерово,2022-12-21T10:58:07+0300
Ведущий системный аналитик (senior/middle),200000,400000,RUR,Москва,2022-12-21T10:09:14+0300
Токарь-карусельщик,120000,,RUR,Санкт-Петербург,2022-12-21T11:20:29+0300
Администратор проектов (junior PM),55000,,RUR,Зеленоград,2022-12-21T10:50:11+0300
"Product manager (mobile games, remotely)",1500,2500,USD,Ташкент,2022-12-21T11:28:04+0300
"Токарь, 5 разряд",30000,,RUR,Ракитное (Белгородская область),2022-12-21T12:59:52+0300
Оператор станков с ЧПУ мебельной промышленности,85000,,RUR,Одинцово,2022-12-21T10:39:41+0300
Инженер строительного контроля (АКЗ/ОГЗ),126000,126000,RUR,Санкт-Петербург,2022-12-21T10:10:17+0300
Сетевой инженер,200000,400000,KZT,Алматы,2022-12-21T10:06:55+0300
SRE Engineer/DevOps (Remote),,250000,RUR,Москва,2022-12-21T10:14:19+0300
Менеджер исследовательских проектов (junior),40000,50000,RUR,Москва,2022-12-21T11:33:20+0300
Главный механик/ начальник автоколонны (большегрузный транспорт),75000,130000,RUR,Подольск (Московская область),2022-12-21T12:53:48+0300
Дежурный инженер технической поддержки ЦОД,60000,90000,RUR,Москва,2022-12-21T12:46:04+0300
Инженер-программист микроконтроллеров,100000,,RUR,Ульяновск,2022-12-21T10:00:23+0300
Младший программист 1С,35000,,RUR,Нижний Новгород,2022-12-21T11:01:15+0300
Специалист службы технической поддержки,35000,50000,RUR,Курск,2022-12-21T12:38:20+0300
Специалист расчетного отдела,35000,,RUR,Ростов-на-Дону,2022-12-21T11:18:28+0300
Solution Architect (SA),,285000,RUR,Омск,2022-12-21T12:56:26+0300
Java / Kotlin Developer,200000,,RUR,Санкт-Петербург,2022-12-21T12:31:51+0300
Инженер службы технической поддержки (стажер) / Support engineer,35000,,RUR,Великий Новгород,2022-12-21T12:38:55+0300
Инженер-аналитик,70000,,RUR,Санкт-Петербург,2022-12-21T12:10:51+0300
Системный администратор,,90000,RUR,Москва,2022-12-21T11:10:22+0300
Pre-sales инженер по сетевым решениям,1000,,USD,Бишкек,2022-12-21T12:42:24+0300
Журналист,25000,40000,RUR,Чита,2022-12-21T12:33:17+0300
Программист 1С,100000,100000,RUR,Калининград,2022-12-21T12:16:47+0300
Сервисный инженер(возможно без опыта),45000,50000,RUR,Иркутск,2022-12-21T11:56:41+0300
Программист (МИАЦ),35000,,RUR,Архангельск,2022-12-21T12:38:30+0300
Ведущий бизнес аналитик IT (senior/middle),180000,350000,RUR,Москва,2022-12-21T10:09:22+0300
Шлифовщик,95000,,RUR,Одинцово,2022-12-21T11:34:49+0300
Системный администратор (Helpdesk),70000,70000,RUR,Москва,2022-12-21T11:47:20+0300
Full-stack разработчик PHP,800000,,KZT,Астана,2022-12-21T11:41:13+0300
Техник КИПиА,70000,70000,RUR,Москва,2022-12-21T10:46:35+0300
Механик транспортного участка,800,900,BYR,Гомель,2022-12-21T12:34:24+0300
Специалист по внедрению информационных систем,90000,150000,RUR,Москва,2022-12-21T12:24:23+0300
Токарь на большие станки,120000,,RUR,Орел,2022-12-21T10:46:11+0300
Механик,60000,,RUR,Венев,2022-12-21T10:10:45+0300
Ученик мастера (м. Жулебино),70000,130000,RUR,Москва,2022-12-21T10:25:35+0300
Дежурный инженер Linux,25000,50000,RUR,Воронеж,2022-12-21T12:35:43+0300
Специалист по клиентскому опыту,,41000,RUR,Краснодар,2022-12-21T11:48:31+0300
Middle Data Engineer,200000,,RUR,Сочи,2022-12-21T11:55:56+0300
Монтажник слаботочных систем,70000,,RUR,Москва,2022-12-21T10:44:59+0300
Backend-разработчик,90000,160000,RUR,Новосибирск,2022-12-21T11:38:51+0300
Сервисный инженер слаботочник / мастер по обслуживанию слаботочных систем,70000,100000,RUR,Санкт-Петербург,2022-12-21T12:44:20+0300
Специалист личной поддержки Tele2 (Ростов-на-Дону),38000,46500,RUR,Ростов-на-Дону,2022-12-21T12:43:40+0300
Программист,,90000,RUR,Самара,2022-12-21T10:58:47+0300
Менеджер проекта по схемному трафику (iGaming/Betting),150000,200000,RUR,Москва,2022-12-21T11:21:45+0300
Шлифовщик,95000,,RUR,Воскресенск,2022-12-21T11:34:57+0300
Инженер-программист,100000,130000,RUR,Санкт-Петербург,2022-12-21T10:45:31+0300
Механик по транспорту,50000,60000,RUR,Липецк,2022-12-21T10:17:23+0300
Руководитель проектов (наружная реклама),90000,250000,RUR,Москва,2022-12-21T12:39:17+0300
Токарь,90000,,RUR,Одинцово,2022-12-21T11:33:25+0300
Дежурный инженер Linux,25000,50000,RUR,Москва,2022-12-21T12:35:43+0300
Менеджер IT-проектов,3000000,,UZS,Ташкент,2022-12-21T12:41:09+0300
Аналитик поддержки продаж,77000,77000,RUR,Москва,2022-12-21T10:30:44+0300
Шлифовщик,95000,,RUR,Щелково,2022-12-21T11:34:42+0300
Мастер по ремонту мобильной техники в авторизированном центре Samsung,60000,75000,RUR,Екатеринбург,2022-12-21T10:26:07+0300
Специалист поддержки пользователей со знанием русского языка,31000,35000,RUR,Волгоград,2022-12-21T12:17:25+0300
Специалист технической поддержки (удаленно),30000,34000,RUR,Новосибирск,2022-12-21T12:21:18+0300
Шлифовщик,95000,,RUR,Красногорск,2022-12-21T11:35:01+0300
Ведущий эксперт компьютерно-технического направления,55000,,RUR,Воронеж,2022-12-21T11:42:05+0300
Механик,,40000,RUR,Пермь,2022-12-21T10:54:09+0300
TypeScript Developer - Middle+/Senior,240000,360000,RUR,Санкт-Петербург,2022-12-21T12:42:01+0300
Инженер электросвязи,33000,,RUR,Ишимбай,2022-12-21T12:25:12+0300
Специалист по холодильному оборудованию / холодильщик,79200,97200,RUR,Санкт-Петербург,2022-12-21T10:45:52+0300
Маркетолог( младший продакт),70000,105000,RUR,Москва,2022-12-21T11:57:50+0300
Механик,80000,80000,RUR,Рязань,2022-12-21T10:04:43+0300
Инженер,80000,100000,RUR,Москва,2022-12-21T12:16:15+0300
DevOps engineer,150000,250000,RUR,Москва,2022-12-21T12:53:01+0300
Специалист по анализу защищенности (pentest),70000,120000,RUR,Екатеринбург,2022-12-21T12:19:04+0300
Программист-консультант 1С,80000,,RUR,Тула,2022-12-21T10:06:28+0300
Оператор станка с ЧПУ,70000,75000,RUR,Мытищи,2022-12-21T12:21:27+0300
Токарь-карусельщик,100000,,RUR,Щелково,2022-12-21T11:33:42+0300
Программист 1С УПП,,100000,RUR,Санкт-Петербург,2022-12-21T10:11:21+0300
Токарь,70000,120000,RUR,Тула,2022-12-21T11:31:18+0300
Техник (монтажник) слаботочных систем,70000,80000,RUR,Москва,2022-12-21T11:07:27+0300
Техник по эксплуатации,38000,50000,RUR,Москва,2022-12-21T12:39:03+0300
Специалист службы технической поддержки,45000,50000,RUR,Санкт-Петербург,2022-12-21T11:07:22+0300
Инженер отдела внедрения (монтажник слаботочных систем),70000,110000,RUR,Москва,2022-12-21T10:44:45+0300
Оператор станков с ПУ,93800,97500,RUR,Самара,2022-12-21T10:33:51+0300
Наладчик станков и манипуляторов с программным управлением,60000,90000,RUR,Киров (Кировская область),2022-12-21T11:59:40+0300
Системный администратор \ Инженер 1-ой линии Технической поддержки,60000,85000,RUR,Москва,2022-12-21T10:35:28+0300
"Сервисный инженер/сборщик ПК/технический специалист/ (ТЦ ""Калибр"")",37000,37000,RUR,Челябинск,2022-12-21T12:32:23+0300
Приемщик сервисного центра,,55000,RUR,Москва,2022-12-21T11:32:21+0300
Senior QA Manual Engineer (Mobile/API),2500,,USD,Санкт-Петербург,2022-12-21T11:40:51+0300
Арт Директор в мобильный проект (Gamedev Art Director),150000,,RUR,Москва,2022-12-21T12:17:49+0300
Младший программист 1С,20000,40000,RUR,Челябинск,2022-12-21T12:57:48+0300
Python-разработчик (middle),160000,,RUR,Москва,2022-12-21T11:48:01+0300
Специалист по защите информации,50000,,RUR,Москва,2022-12-21T12:26:48+0300
Ведущий системный администратор,170000,,RUR,Москва,2022-12-21T11:19:05+0300
Бизнес-аналитик,50000,80000,RUR,Москва,2022-12-21T11:24:41+0300
"Финансовый аналитик со знанием Power BI, Power Query",75000,,RUR,Краснодар,2022-12-21T11:34:54+0300
Токарь-универсал,40000,50000,RUR,Екатеринбург,2022-12-21T12:36:01+0300
Токарь-карусельщик,100000,,RUR,Одинцово,2022-12-21T11:33:48+0300
Дежурный инженер Linux,25000,50000,RUR,Новосибирск,2022-12-21T12:35:43+0300
Кромщик / Оператор кромкооблицовочного станка,80000,,RUR,Екатеринбург,2022-12-21T10:16:18+0300
"Ученик мастера-универсала (изготовление ключей, заточка инструмента, ремонт обуви, кожгалантереи,)",20000,25000,RUR,Екатеринбург,2022-12-21T10:46:35+0300
Специалист службы поддержки (из дома),40500,,RUR,Владимир,2022-12-21T12:58:38+0300
Программист 1С,100000,150000,RUR,Казань,2022-12-21T10:02:22+0300
Программист 1С-стажер,35000,,RUR,Нижний Новгород,2022-12-21T12:57:22+0300
Шлифовщик,95000,,RUR,Серпухов,2022-12-21T11:34:46+0300
Менеджер-дизайнер,75000,,RUR,Москва,2022-12-21T11:13:16+0300
Сервисный инженер,65000,65000,RUR,Санкт-Петербург,2022-12-21T12:43:31+0300
Токарь-расточник,130000,,RUR,Пермь,2022-12-21T10:34:40+0300
Электромеханик,60000,,RUR,Москва,2022-12-21T10:24:53+0300
Помощник SEO-специалиста,30000,65000,RUR,Иркутск,2022-12-21T11:51:51+0300
Фрезеровщик,100000,,RUR,Одинцово,2022-12-21T11:34:28+0300
Инженер-установщик дополнительного оборудования,60000,100000,RUR,Москва,2022-12-21T11:48:05+0300
Системный администратор Linux,80000,160000,RUR,Подольск (Московская область),2022-12-21T10:04:43+0300
Ученик компьютерного мастера / Начинающий специалист / Мастер по ремонту компьютеров и ноутбуков,100000,130000,RUR,Москва,2022-12-21T11:32:30+0300
Сервисный инженер,40000,50000,RUR,Киров (Кировская область),2022-12-21T11:37:00+0300
Оператор станков с ЧПУ,55000,60000,RUR,Новосибирск,2022-12-21T11:41:10+0300
Менеджер проектов,1000,,USD,Алматы,2022-12-21T10:25:20+0300
Android разработчик (Kotlin),,4000,USD,Санкт-Петербург,2022-12-21T11:21:34+0300
Специалист по БДД,130000,,RUR,Красноярск,2022-12-21T12:49:31+0300
Токарь,93800,97500,RUR,Волгодонск,2022-12-21T11:13:36+0300
Инженер-конструктор по электронике,40000,60000,RUR,Воронеж,2022-12-21T10:55:40+0300
Оператор листогибочного пресса,70000,,RUR,Москва,2022-12-21T10:03:11+0300
