name,salary_from,salary_to,salary_currency,area_name,published_at
Менеджер по проектам,34500,41900,RUR,Великие Луки,2022-12-21T09:06:12+0300
Системный администратор,24000,,RUR,Самара,2022-12-21T07:51:54+0300
Оператор листогибочного станка( Производство металлоконструкций),105000,,RUR,Санкт-Петербург,2022-12-21T09:22:25+0300
Проектный менеджер,100000,,RUR,Псков,2022-12-21T08:10:20+0300
Продакт-менеджер,120000,,RUR,Москва,2022-12-21T09:20:28+0300
Графический дизайнер,,40000,RUR,Челябинск,2022-12-21T08:24:20+0300
Специалист по обслуживанию развлекательных автоматов,36000,40000,RUR,Барнаул,2022-12-21T07:10:17+0300
Графический дизайнер,60000,,RUR,Санкт-Петербург,2022-12-21T08:46:51+0300
Инженер технической поддержки,55000,,RUR,Санкт-Петербург,2022-12-21T09:58:13+0300
Маркетолог,100000,,RUR,Владивосток,2022-12-21T05:20:14+0300
Специалист по ИТ,,100000,RUR,Москва,2022-12-21T09:29:34+0300
PHP программист,100000,,RUR,Владивосток,2022-12-21T08:36:21+0300
Главный механик,80000,,RUR,Хабаровск,2022-12-21T09:43:15+0300
"Менеджер проекта, Алматы",400000,500000,KZT,Алматы,2022-12-21T08:51:35+0300
Оператор станков продольного точения с ЧПУ на предприятие (г. Белово),50000,70000,RUR,Белово,2022-12-21T04:38:26+0300
Механик по ремонту буровых установок,170000,170000,RUR,Екатеринбург,2022-12-21T08:20:44+0300
Системный инженер,2000,,USD,Ташкент,2022-12-21T07:28:19+0300
Наладчик КИПиА,250000,,KZT,Алматы,2022-12-21T06:35:59+0300
Проектный менеджер,100000,,RUR,Волгоград,2022-12-21T08:10:20+0300
Специалист по изучению поисковой выдачи в Яндекс,,65000,RUR,Москва,2022-12-21T08:34:44+0300
Системный администратор,80000,130000,RUR,Москва,2022-12-21T09:46:43+0300
Системный администратор,84000,84000,RUR,Хабаровск,2022-12-21T08:04:16+0300
Дизайнер UX/UI (Senior/Middle+),150000,,RUR,Санкт-Петербург,2022-12-21T09:29:48+0300
Системный администратор,75000,95000,RUR,Новосибирск,2022-12-21T07:27:27+0300
Ведущий инженер отдела информационных технологий,70000,75000,RUR,Нижневартовск,2022-12-21T09:29:48+0300
Наладчик оборудования,70000,90000,RUR,Санкт-Петербург,2022-12-21T09:52:19+0300
Дизайнер,50000,,RUR,Новосибирск,2022-12-21T06:32:23+0300
QA engineer (Python),60000,,RUR,Санкт-Петербург,2022-12-21T06:36:13+0300
Middle QA / Тестировщик,80000,,RUR,Владивосток,2022-12-21T09:41:11+0300
Аналитик производства,50000,,RUR,Новосибирск,2022-12-21T07:01:57+0300
Системный администратор,,266000,KZT,Астана,2022-12-21T09:24:31+0300
